"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"397","Gas & Roses Fresh Terpenes","MGGNR201015","Concentrate","Terpene","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9353,0.031694,10.50466,3.8848,0.3303,0.20074,NA,NA,0.09684,0.4895,4.322,0.00616,1.3305,0.03782,0.05468,0.11959,0.05738,0.1048,NA,0.08347,12.1608,0.07533,0.10802,0.321,28.77057,0.05666,1.6253,5.80097,0,74.508884
"398","Gas & Roses FSO QC","CHM-MGGNR201208","Concentrate","Other","","",661.4814,36.6916,NA,56.8877,17.5776,NA,4.0086,6.019,5.9849,4.7076,3.4031,693.66,72.3033,0.0605,NA,0.06629,NA,0.0049,0.01144,NA,NA,NA,0.0868,0.297,NA,0.0113,0.00241,0.05431,0.00696,NA,0.0356,NA,0.00837,0.278026,NA,0.00615,0.0021,0.33676,NA,0.38936,1.19955,796.7615,2.857826
"399","Gas & Roses Terpenes","MGGNR201016","Concentrate","Terpene","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1605,0.061924,13.79435,4.8203,0.3691,0.331,NA,NA,0.13013,0.1445,NA,NA,2.2665,0.09085,0.09441,0.03503,0.00461,NA,NA,0.11562,9.6149,NA,0.06289,0.3214,17.97472,0.0942,3.28663,12.40876,0,66.182324
"400","Gas & Roses Trim QC","MGGNR20.1","Plant","Leaf/Trim","","",5.091,112.353,NA,NA,1.877,NA,NA,NA,NA,2.874,2.961,103.625,1.64613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.156,0
"401","Gas& Roses QC2","CHM-MGGNR201208","Concentrate","Other","","",660.517,1.37,NA,68.04,2.343,0.311,6.701,7.125,6.812,0.903,0.892,661.718,70.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755.014,0
"402","Gelonade Flower QC","CHM-MMGLN-FLW","Plant","Flower","","",31.137,117.294,NA,NA,NA,NA,NA,0.998,0.609,2.782,5.172,134.004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.992,0
"403","Gelonade FSO QC","CHM-MMGLN220621-FSO","Concentrate","Other","","",627.076,73.383,NA,1.484,0.748,NA,6.394,11.087,5.216,5.435,11.157,691.433,1.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741.98,0
"404","Granola Funk FSO","CHM-RRGNF211028-FSO","Concentrate","Other","","",434.771,340.102,NA,0.484,1.154,NA,9.057,6.44,2.908,7.029,15.519,733.04,1.01206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.464,0
"405","Grease Monkey","Grease Monkey PL 468","Plant","Flower","","",10.706,190.897,NA,NA,0.59,NA,NA,1.151,NA,4.819,10.213,178.123,0.51743,0.00775,NA,0.0337,0.0629,0.00932,0.00533,NA,NA,0.00598,0.00326,NA,NA,0.207,NA,0.124,NA,NA,NA,NA,0.0184,0.319,NA,NA,0.02,0.119,0.0458,0.208,0.831,218.376,2.02044
"406","Grease Monkey FSO QC","CHM-MMGMK200724-FSO QC1","Concentrate","Other","","",443.543,426.205,NA,1.105,1.745,NA,5.226,4.091,5.003,14.644,10.055,817.325,2.63537,0.0301,NA,0.12,0.0184,0.0101,0.00756,NA,NA,NA,0.00605,0.0286,NA,0.00754,NA,0.0313,0.00272,NA,0.00372,NA,NA,0.315,NA,0.00392,NA,0.261,NA,0.465,1.52,911.617,2.83101
"407","Green Moods 05/01/2022","MDS-18:1-GRN2205-TNT","Edible","Tincture","","",1.12,1.765,NA,14.29,5.566,NA,NA,NA,0.409,0.305,NA,2.66791,19.1714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.455,0
"408","Green Moods 2109 S1 QC","MDS-18:1-GRN2109-S1","Edible","Tincture","","",0.529,1.2,NA,11.363,4.264,NA,0.089,0.077,0.201,0.144,NA,1.5814,15.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.867,0
"409","Green Moods Mixed S1","MDS-18:1-GRN2105-S1 Undiluted","Edible","Tincture","","",1.71829,3.69414,NA,35.395585,13.884615,0.195105,0.35243,0.17905,0.7275,0.719095,0.11862,4.95805,47.5724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.98443,0
"410","Green Moods S2 QC","MDS-18:1-GRN2006-S2","Edible","Tincture","","",0.674,1.391,NA,11.881,4.909,NA,0.154,0.088,0.298,0.299,NA,1.89391,16.1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.694,0
"411","Green Moods Stock  S1","MDS-18:1-GRN2006-S1","Edible","Tincture","","",4.49396,8.434505,NA,78.555555,30.428185,0.51822,0.92521,0.49281,1.75059,1.67443,0.347535,11.891,105.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.621,0
"412","Guava FSO QC","CHM-BZOGVA210817-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"413","Harmony Rose FSO QC","CHM-ESBHMR220601-FSO","Concentrate","Other","","",220.315,159.824,NA,150.705,266.61,NA,2.946,4.599,5.287,13.361,14.763,360.481,384.522,0.003726466,0.007790075,NA,NA,NA,0.004841126,NA,NA,0.013047935,0.00199602,0.003882149,NA,0.018551488,NA,0.287272311,0.002323775,NA,NA,NA,0.146320946,0.003442976,NA,0.00144483,0.039132857,0.003774434,NA,0.130571919,0.488311883,838.41,1.15643119
"414","Hibiscus","Hibiscus PL 466","Plant","Flower","","",16.129,166.475,NA,NA,0.539,NA,NA,0.929,NA,3.088,6.182,162.128,0.472703,0.137,0.00696,0.357,0.176,0.00564,0.00685,NA,NA,0.00155,0.00162,NA,NA,0.0361,0.00862,NA,0.01,0.00178,0.0102,NA,0.00551,0.0337,NA,0.00831,0.0103,0.223,NA,0.0207,0.143,193.342,1.20384
"415","Ice Cream Cake FSO QC","CHM-MMICC210625-FSO Part 2","Concentrate","Other","","",693.093,135.081,NA,1.638,0.649,NA,8.601,9.109,10.351,4.564,2.896,811.559,1.638,0.0015,NA,NA,NA,NA,0.00182,NA,NA,NA,0.0122,NA,0.00924,0.0203,NA,NA,0.00136,NA,NA,NA,0.03093,0.0072,NA,NA,0.002,0.002,0.00651,0.25339,0.65216,865.982,1.00061
"416","Ice Cream Cake FSO QC","CHM-MMICC210625-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"417","Indose Hybrid","5C37B2C25334C","Concentrate","Cartridge","Hybrid","Hybrid",727.7,NA,NA,6.5,NA,NA,28.2,33.3,1.3,NA,NA,727.7,6.5,0.7876,NA,0.0109,NA,NA,NA,NA,NA,NA,0.3275,NA,NA,0.0082,NA,NA,NA,NA,NA,NA,NA,0.058,NA,NA,0.0046,0.0111,0.0015,0.4387,1.3706,797,3.0187
"418","Indose Indica","5C37B2BD4757C","Concentrate","Cartridge","Indica","Indica",735.7,NA,NA,7,NA,NA,27.6,32.6,1.8,NA,NA,735.7,7,0.0029,NA,0.0259,0.045,0.006,0.0026,NA,NA,0.0043,0.0025,NA,0.0102,0.4125,NA,0.0053,NA,0.0179,NA,0.0163,0.0132,0.2248,NA,NA,0.0569,0.0197,0.0036,0.4666,1.6199,804.7,2.9561
"419","Indose Sativa","5C37B2C6567BD","Concentrate","Cartridge","Sativa","Sativa",766.6,NA,NA,7,NA,NA,28,32.9,2.3,NA,NA,766.6,7,0.0031,NA,0.1405,0.0263,0.0018,NA,NA,NA,0.0022,0.0022,NA,0.0537,0.321,NA,0.0051,NA,NA,NA,0.0092,0.0066,1.0109,NA,0.2556,0.0117,0.0158,0.0015,0.1407,0.4731,836.8,2.481
"420","Infused Birthday Cake FSO","PL 420 CHM-MMBDC190702-iFSO","Concentrate","Other","","",728.692,29.714,NA,2.893,0.655,NA,6.473,13.233,8.369,5.67,5.985,754.751,3.46744,0.0922,NA,0.0729,0.0301,0.0116,0.00876,NA,NA,0.00171,0.00963,0.04,NA,0.306,NA,0.0091,0.00818,NA,0.00432,NA,0.00749,0.736,NA,0.00675,0.00661,0.617,NA,0.867,2.39,801.684,5.22535
"421","Infused Huckleberries","PL 434 CHM-MMHKB190709-iFSO","Concentrate","Other","","",727.718,12.557,NA,2.192,0.671,NA,7.495,15.617,9.446,4.551,7.292,738.73,2.78047,0.0413,NA,0.0814,0.0362,0.0185,0.0112,NA,NA,0.00399,0.00755,0.0134,NA,0.413,NA,0.00865,0.00578,NA,0.00158,NA,0.00788,0.635,NA,0.00584,0.012,0.288,NA,1.44,3.9,787.539,6.93127
"422","INFUSED Rainmaker FSO","INFUSED PL 445 CHM-MMRNM190916-FSO","Concentrate","Other","","",686.752,141.876,NA,1.858,NA,NA,4.602,NA,9.032,7.137,8.73,811.177,1.858,0.0245,NA,0.13,0.0892,0.0277,0.00748,NA,NA,0.00694,0.0296,0.196,NA,0.433,0.00305,0.00464,0.00631,NA,NA,NA,NA,0.938,NA,0.00648,0.0174,1.45,NA,0.392,1.1,859.987,4.8623
"423","INFUSED XJ-13 FSO","INFUSED PL 440 CHM-LSXJ190826-FSO","Concentrate","Other","","",754.43,36.706,NA,2.615,NA,NA,3.026,24.088,5.474,NA,14.324,786.621,2.615,2.55,NA,0.0616,0.0259,0.00637,0.0142,NA,NA,NA,0.0391,0.632,NA,0.0152,NA,NA,0.0928,NA,0.0327,NA,NA,0.133,0.0232,0.0676,0.00449,0.193,NA,0.569,1.86,840.663,6.32016
"424","Jack Herer Flower PL 465","","Plant","Flower","","",5.289,79.384,NA,NA,NA,NA,NA,0.84,NA,2.07,5.455,74.9088,0,0.234,NA,0.0152,0.0321,NA,0.00223,NA,NA,NA,0.00446,0.0942,NA,NA,NA,0.00379,0.00833,NA,0.00631,NA,0.0163,0.00742,NA,0.00545,0.00509,0.0134,0.011,0.0749,0.221,93.038,0.75518
"425","Jack Herer FSO QC","CHM-MMJHR200824-FSO","Concentrate","Other","","",618.163,201.963,NA,0.97,NA,NA,8.096,17.691,6.327,7.373,13.847,795.285,0.97,0.23903,NA,0.01095,NA,NA,0.00611,NA,NA,NA,0.00555,0.0531,NA,0.00442,NA,0.0165,0.0116,NA,0.00254,NA,0.0638,0.03341,0.00145,0.0113,0.00135,0.04681,NA,0.38169,1.13207,874.43,2.02168
"426","Jack Herrer FSO 05/01/2022","CHM-FRFJHR220329-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"427","Jack Tripper FSO QC","CHM-MMJCT210712-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"428","JHR Micro Crude","PL 465","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"429","JPTR-L61205 MTW-QC-04","Jupiter Cartridges Item L61205 Group 4","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"430","JPTR-L61205 MTW-QC-05","Jupiter Cartridges Item L61205 Group 5","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"431","JPTR-L61205 MTW-QC-06","Jupiter Cartridges Item L61205 Group 6","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"432","JPTR-L61205 MTW-QC-07","Jupiter Carts L61205 Group 7","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"433","JPTR-L61205 MTW-QC-08","Jupiter Carts L61205 Group 8","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"434","JPTR-L61205 MTW-QC-09","Jupiter Carts L61205 Group 9","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"435","JPTR-L61205 MTW-QC1","Jupiter Carts L61205 x Mango Trainwreck QC Group 1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"436","JPTR-L61205 MTW-QC2","Jupiter Carts L61205 x Mango Trainwreck QC Group 2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"437","JPTR-L61205 MTW-QC3","Jupiter Carts L61205 x Mango Trainwreck QC Group 3","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"438","JPTR-MTW191010-QC-01","","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"439","JPTR-MTW191010-QC-02","","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"440","JPTR-UNOMTW-QC1","Jupiter Uno Mango Trainwreck QC Group 1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"441","JPTR-UNOMTW-QC2","Jupiter Uno Mango Trainwreck QC Group 2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"442","Jungle Pound Cake Flower","CHM-TBFJPC-FWR","Plant","Flower","","",8.498,165.317,NA,NA,NA,NA,NA,NA,NA,1.696,6.353,153.481,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.864,0
"443","Jungle Pound Cake FSO","CHM-BFJPC220122-FSO","Concentrate","Other","","",362.391,504.82,NA,0.579,1.25,NA,4.861,2.175,2.4,9.154,10.213,805.118,1.09625,0.012398381,NA,0.002113842,NA,NA,NA,NA,NA,NA,NA,0.003795605,NA,0.008900851,NA,0.01192492,NA,NA,NA,NA,NA,0.005614209,NA,NA,NA,0.00300714,NA,0.375141609,1.054731028,897.843,1.477627585
"444","Lady Benbow flower","Lady Benbow flower","Plant","Flower","","",5.033,85.87,NA,3.467,81.709,NA,NA,1.29,NA,6.175,7.021,80.341,75.1258,0.00354,0.00782,0.116,0.0436,0.00497,NA,NA,NA,0.00401,0.00433,0.0888,NA,0.0294,0.00743,0.0117,NA,NA,NA,NA,0.0167,0.076,NA,NA,0.0104,0.231,0.0128,0.114,0.36,190.565,1.1425
"445","Lady Benbow FSO QC","CHM-LSLBW201028-FSO","Concentrate","Other","","",186.59,17.94,NA,405.23,141.33,0.63,3.2,6.73,9.83,11.16,9.67,202.323,529.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.31,0
"446","Lady Benbow Sleepy Tincture","CHM-LBSLP210617","Edible","Tincture","","",5.2167,0.4586,NA,13.0838,4.9703,NA,5.4423,0.1661,0.2878,0.2911,0.148,5.61889,17.4428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0647,0
"447","Lady Luck Tincture","MMLDL190930-TNT","Edible","Tincture","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"448","Lemon Cake Sauce FSO","CHM-BFLMC201124-FSO","Concentrate","Other","","",571.801,9.084,NA,2.806,1.129,NA,8.889,16.673,6.542,2.523,8.154,579.768,3.79613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627.601,0
"449","Lemon Cake Sauce FSO Post Diamonds","CHM-BFLMC201124-FSO","Concentrate","Other","","",356.714,327.936,NA,4.837,15.68,NA,3.246,7.134,3.066,11.848,12.521,644.314,18.5884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.982,0
"450","Lemon Mac Flower","CHM-TBFLMK-FLR","Plant","Flower","","",12.35945,180.055,NA,0.01223,0.29202,NA,0.03286,0.51326,0.259,5.46635,11.47177,170.268,0.268332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.46194,0
"451","Lemon Mac FSO","CHM-BFLNM220203-FSO","Concentrate","Other","","",465.284,314.06,NA,0.782,0.988,NA,6.848,11.105,5.364,9.613,12.536,740.715,0.866476,0.005206429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015615701,NA,0.248043986,0.00778772,NA,NA,NA,0.043171809,NA,NA,0.002968551,0.003607722,NA,NA,0.303229958,0.787369156,826.58,1.417001032
"452","Lemon Mac FSO part2 QC","CHM-TBFLNM220615-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"453","Light Beam FSO 2022","CHM-MMLGB190718-FSO","Concentrate","Other","","",298.299,NA,NA,476.134,6.03,NA,6.165,19.65,17.092,NA,1.398,298.299,481.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824.768,0
"454","Lime Juice Bulk Tincture QC","CHM-ESLIJ210719-S1","Edible","Tincture","","",26.97467,0.61206,NA,0.13053,0.03289,NA,0.755485,0.39787,0.34458,0.0941,0.10586,27.5114,0.13053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.448045,0
"455","Lunar Bouquet FSO QC","CHM-MMLNB210112-FSO","Concentrate","Other","","",72.657,8.699,NA,483.84,214.605,23.643,1.428,3.593,9.878,15.921,4.114,80.286,672.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.378,0
"456","Lunar Remedy FSO","CHM-RMDLNB210203-FSO","Concentrate","Other","","",43.676,1.635,NA,682.109,48.403,6.07,0.858,3.718,13.799,4.559,1.248,45.1099,724.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806.075,0
"457","Lunar Remedy FSO","CHM-RMDLNB210203-FSO","Concentrate","Other","","",55.64,2.045,NA,640.508,64.905,8.064,1.061,4.497,16.945,5.883,1.62,57.4335,697.43,0.0139,NA,0.32794,0.0057,0.0253,0.0079,NA,NA,0.0024,0.0067,0.016,NA,0.0046,0.03991,0.11246,0.01126,NA,NA,NA,0.01353,0.3661,0.01527,0.00464,0.0044,1.93184,0.00322,0.42579,1.12438,801.168,4.46324
"458","LVL-CFMH190910-FSC","LVL-CFMH190910-FSC","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"459","LVL-CFMH190910-FSC-QC","PL 444 Bulk FSC","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"460","LVL-CFMH190910-FSC-QC-02","PL 444 Bulk FSC-QC-02","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"461","LVL-MDR190116-FSC","PL 404 LVL FSC","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"462","LVL-MDR190116-FSC","PL 404 LVL FSC","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"463","LVL-MDR190319-FSC","PL 412 LVL-MDR190319-FSC","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"464","LVL-MDRMH190528-FSC-QC","PL 426","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"465","Magic Wand","Magic Wand PL 469","Plant","Flower","","",7.725,199.638,NA,NA,0.587,NA,NA,1.274,NA,5.408,7.282,182.808,0.514799,0.0161,0.0968,0.0159,0.024,0.0027,0.00282,NA,NA,0.00156,0.00844,0.0608,NA,0.119,0.112,NA,0.00195,NA,0.00249,NA,0.036,0.0679,NA,0.00219,0.00737,0.293,0.0298,0.0827,0.355,221.914,1.33852
"466","Magic Wand FSO QC","CHM-ESMGW200715-FSO QC1","Concentrate","Other","","",735.734,125.006,NA,1.532,1.233,NA,13.23,7.513,6.307,9.51,6.249,845.364,2.61334,0.0427,0.033,0.0416,NA,0.00398,0.00659,NA,NA,NA,0.00688,0.0293,NA,0.0783,0.0671,0.0331,0.00364,NA,NA,NA,0.0276,0.187,NA,0.00333,0.00222,0.182,NA,0.22,0.983,906.314,1.95134
